text,classification,tweet_proc
det som er trist er å finne på begreper som snikislamisering for å styre debatten.,1,trist finne begreper snikislamisering styre debatten
så sier mannen som for noen måneder siden uttalte seg for å innføre sharialån til muslimer i Norge .......,1,sier mannen måneder uttalte innføre sharialån muslimer norge
frps sterkeste kort i valgkampen 2011,1,frps sterkeste kort valgkampen
"ang snikislamisering: dette var, så vidt jeg vet, et ord siv jensen introdusert og brukt, og som hun droppet etter 22. juli. dette kan kontrolleres i retriever. selve ordet har altså ikke blitt brukt mye etter terroren, men jeg er enig i at kritikken av selve islam ikke har blitt mindre",1,ang snikislamisering vidt vet ord siv jensen introdusert brukt droppet juli kontrolleres retriever selve ordet altså ikke brukt mye terroren enig kritikken selve islam ikke mindre
"awais aslam: nok en gang bruker og forsvarer landets finansminister det veletablerte konseptet med skjult islamisering. begrepet har ingen rot i virkeligheten, men egnet til å spre frykt, sinne og fordommer blant folket.",1,awais aslam nok gang bruker forsvarer landets finansminister veletablerte konseptet skjult islamisering begrepet rot virkeligheten egnet spre frykt sinne fordommer blant folket
"når jon helgheim sier at frp snakker om snikislamisering fordi de vil angripe sosialistene og feministene og ikke muslimer, bruker han samme argument som breivik. han angrep ap og auf for å stoppe islamiseringen.",1,jon helgheim sier frp snakker snikislamisering angripe sosialistene feministene ikke muslimer bruker argument breivik angrep ap auf stoppe islamiseringen
"at 2. og 3. generasjon oppfører seg mer islamsk enn den første, understreker bare at det eneste fornuftige er å deportere dem dit de hører hjemme. der vil de trives.",0,generasjon oppfører mer islamsk første understreker eneste fornuftige deportere dit hører hjemme trives
"kan du ikke være så snill å forklare hva snusk islamisering er, og komme med noen konkrete eksempler da? forklare og diskutere som vi gjør på skolen",1,ikke snill forklare snusk islamisering komme konkrete eksempler forklare diskutere gjør skolen
"det som er så trist er at norge var sånn da jeg vokste opp på 70- og 80-tallet. ingen hadde sett noen mørke mennesker i det hele tatt. en fyr jeg vet som var halvparten portugisisk, ble kalt pakis, liksom. ingen unnskyldning for det som skjedde.",1,trist norge vokste tallet sett mørke mennesker hele tatt fyr vet halvparten portugisisk kalt pakis liksom unnskyldning skjedde
"klungtveit har ingen innvendinger mot det journalistiske innholdet, tilbakestiller rettelser av løgnemediens forvrengning av amundsens forslag. det var overraskende og positivt.",1,klungtveit innvendinger journalistiske innholdet tilbakestiller rettelser løgnemediens forvrengning amundsens forslag overraskende positivt
"hadde han gått til advokatavdelingen, ville du ha ropt om politisk styrting.",1,gått advokatavdelingen ropt politisk styrting
vi trenger massesøksmål fra de som er blitt ødelagt av seksuelle rovdyr. og massesøksmål fra alle de som med stilltiende samtykke fra regjeringen blir utsatt for fgm. la erna føle det på pungen.,1,trenger massesøksmål ødelagt seksuelle rovdyr massesøksmål stilltiende samtykke regjeringen utsatt fgm la erna føle pungen
snikislamisering er ikke en konspirasjonsteori - vårt land - Norges største kristne dagsavis anstendig avklaring.,1,snikislamisering ikke konspirasjonsteori vårt land norges største kristne dagsavis anstendig avklaring
"siv jensen lanserte begrepet snikislamisering i 2009. hun har utarbeidet grunnen til at folk som sylvi, per willy og gjedde skal kunne følge med som de gjør. hun er absolutt en god politiker og hva du enn måtte si nå, men ikke glem at hun har legitimert rasisme som ingen andre.",1,siv jensen lanserte begrepet snikislamisering utarbeidet grunnen folk sylvi per willy gjedde følge gjør absolutt god politiker måtte ikke glem legitimert rasisme andre
"hater at folk kaller meg japse, det er akkurat som å kalle en tyrker pakkis.",1,hater folk kaller japse akkurat kalle tyrker pakkis
Ta en titt på hyppigheten av islamsk terror mot all annen terror. Jeg går høyt inn dørene. Jeg vekker de sovende hjernevaskede menneskene. informerer om fakta om det uintegrerbare.,0,ta titt hyppigheten islamsk terror all annen terror går høyt dørene vekker sovende hjernevaskede menneskene informerer fakta uintegrerbare
"den delen av nasjonalsosialismen som ikke fokuserer på vold, etablering av kolonier i Polen (boområdelæren) og andre antidemokratiske tiltak, er rett og slett sosialpolitikk rettet mot egen stamme. les festprogrammet for nsdap. 1935-utgaven anbefales for interesserte.",1,delen nasjonalsosialismen ikke fokuserer vold etablering kolonier polen boområdelæren andre antidemokratiske tiltak rett slett sosialpolitikk rettet egen stamme les festprogrammet nsdap utgaven anbefales interesserte
"først snike islamisering, så snike sosialisering ... hva er det neste?",1,først snike islamisering snike sosialisering neste
"nei, jævla pakkis er ikke rasistisk .. Oslo mann (25) anklaget for rasistisk motivert vold mot bussjåfør - osloby",1,nei jævla pakkis ikke rasistisk oslo mann anklaget rasistisk motivert vold bussjåfør osloby
I ordet snikislamisering er det en forståelse av at alle muslimer som innvandrer til Europa har en felles agenda. de samarbeider på tvers av forskjellige land og religioner. det må være en hemmelig muslimsk leder som leder denne trojanske hesten. 1/2,1,ordet snikislamisering forståelse muslimer innvandrer europa felles agenda samarbeider tvers forskjellige land religioner må hemmelig muslimsk leder leder trojanske hesten
"gjensidig respekt var hovedregelen. . Noen muslimer flyktet da vi forkledde løgnene deres ved å lese Koranen, men ingen var voldelige slik du er vant til.",1,gjensidig respekt hovedregelen muslimer flyktet forkledde løgnene lese koranen voldelige vant
eller som når siv jensen voldsomt ikke hvisker kommentarer! i ernas øre når journalister spør om snikislamisering. eller når vi får en justisminister som har bedt om et nytt korstog. erna sto også last og sprengte med listebunke etter hennes berømte facebook-innlegg rettet mot ap.,1,siv jensen voldsomt ikke hvisker kommentarer ernas øre journalister spør snikislamisering får justisminister bedt nytt korstog erna sto last sprengte listebunke berømte facebook innlegg rettet ap
"det du kaller protest var ekstremt uortodoks oppførsel. her løser vi problemer med dialog, gratis dissens, søken etter sannhet. kommunisme og islam, derimot, løser uenigheter om drap og drapsforsøk. derfor passer ikke slike mennesker her. de må utvises / interneres.",0,kaller protest ekstremt uortodoks oppførsel løser problemer dialog gratis dissens søken sannhet kommunisme islam derimot løser uenigheter drap drapsforsøk derfor passer ikke slike mennesker må utvises interneres
kunne ønske ordet aldri ble sagt .. hva om han har et poeng? har vi kontroll over alle som krysser grensen?,1,ønske ordet aldri sagt poeng kontroll krysser grensen
Slum liberalisering høres i det minste morsommere ut enn snikislamisering. neste på listen: snik tabloidisering?,1,slum liberalisering høres minste morsommere snikislamisering neste listen snik tabloidisering
"klungtveit viser nok en gang sitt dårligere nivå av forfølgelse av bedre mennesker enn ham selv. angripe ideene, ikke debattanten. fyren forstår åpenbart klanekultur og stamm mentalitet. det filtreres ikke.",1,klungtveit viser nok gang dårligere nivå forfølgelse bedre mennesker ham angripe ideene ikke debattanten fyren forstår åpenbart klanekultur stamm mentalitet filtreres ikke
lav terskel for domfellelse for hatkriminalitet. straffet for å kalle en jævla neger og jævla pakkis:,1,lav terskel domfellelse hatkriminalitet straffet kalle jævla neger jævla pakkis
adil () er en norsk-pakistansk versjon av vinediesel. Jeg er en norsk pakkisversjon av Chris Farley hei jenter.,1,adil norsk pakistansk versjon vinediesel norsk pakkisversjon chris farley hei jenter
det sprer seg. raskt kart finn-søk avslører videre burkavárri på stjerneøya og koran på selbu,1,sprer raskt kart finn søk avslører videre burkavrri stjerneøya koran selbu
..hat og det skiller oss. mange av dem i disse tider. Vennlig hilsen en pakkis og muslim som har følt ekte rasisme på kroppen og som ..,1,hat skiller tider vennlig hilsen pakkis muslim følt ekte rasisme kroppen
"den gode muslimske frisøren i paris var tsjetsjensk, snakket fransk og var hvit i hudfarge. vi har tsjetsjener i norge. vi vet ennå ikke om groruddølen var av samme sort.",1,gode muslimske frisøren paris tsjetsjensk snakket fransk hvit hudfarge tsjetsjener norge vet ennå ikke groruddølen sort
Jeg ser sjelden ordene antikviteter og pakkis utenfor Donald.,1,ser sjelden ordene antikviteter pakkis utenfor donald
"i dette rørende verdensmesterskapet i godhet, ignorerer begge gudfedrene det de ødelegger i løpet av å avskaffe Norge, det norske og alle normale mennesker som er her.",1,rørende verdensmesterskapet godhet ignorerer gudfedrene ødelegger løpet avskaffe norge norske normale mennesker
"det er en haug med bøker, alle skrevet av og om norske pakistanere.",1,haug bøker skrevet norske pakistanere
"hva med dette? eller er han for opptatt med å skrike brun rasisme? snikislamisering er på farten uten at han ser det, eller hvis han nekter å se det fordi han er for opptatt med å skrike brun rasisme.",0,opptatt skrike brun rasisme snikislamisering farten ser nekter se opptatt skrike brun rasisme
virker is kan trekke til Nordpolen og merke seg selv for pakkis,1,virker is trekke nordpolen merke pakkis
Islam har aldri ført noe godt med seg og har ingen verdibidrag noe sted i verden. men vi har ingen rett til å lede hvordan mennesker utenfor norge lever sine liv.,1,islam aldri ført godt verdibidrag sted verden rett lede mennesker utenfor norge lever liv
Jensen ba Solberg om ikke å svare på spørsmål om snikislamisering. se på video:,1,jensen ba solberg ikke svare spørsmål snikislamisering se video
voldelig venstre arrestert i arendal. sian er helt trygge. Fredagens stand er fra 09.00 til 14.00. Stemme står vanligvis ikke opp før klokka 14 på mårran. det er derfor helt trygt å besøke informasjonsstanden vår på arendalsukas siste dag.,1,voldelig venstre arrestert arendal sian helt trygge fredagens stand stemme står vanligvis ikke klokka mårran derfor helt trygt besøke informasjonsstanden arendalsukas siste dag
"da valget var over ble vi lettet, men nå savner vi det allerede. debatten vil ikke være helt den samme uten <U+0001F634> hva med en eller annen snikislamisering neste uke? <U+0001F633>",1,valget lettet savner allerede debatten ikke helt u f annen snikislamisering neste uke u f
vi trenger ikke en million rakettforskere. deporter det uintegrerbare og bygg en mur mot Sverige.,0,trenger ikke million rakettforskere deporter uintegrerbare bygg mur sverige
"Å kalle isekstremister er det samme som å kalle profeten en ekstremist. hvis du leser egenskapene til gul ekstremisme, vil du forstå at muhammed er normal og at is derfor er normale muslimer. hadithen!",1,kalle isekstremister kalle profeten ekstremist leser egenskapene gul ekstremisme forstå muhammed normal is derfor normale muslimer hadithen
"på Norges nivå i invasjonsprosessen, er denne formen for underkastelse egnet til å gi illusjonen om fravær av uro en stund. denne illusjonen har lurt artikkelforfatteren. men slutten på tidslinjen er den samme for norge og sverige. med mindre vi deporterer de uintegrerbare.",0,norges nivå invasjonsprosessen formen underkastelse egnet gi illusjonen fravær uro stund illusjonen lurt artikkelforfatteren slutten tidslinjen norge sverige mindre deporterer uintegrerbare
"- hvis det ikke er snikislamisering, så er det islamisering - norge - nrk nyheter",1,ikke snikislamisering islamisering norge nrk nyheter
"hva svarer du på en slik sms fra en ukjent person? nå er jeg lei av hvordan du uttrykker deg i media du er ingenting annet enn en brunøyet pakkis som burde reise så raskt som mulig hjem til det skitne landet du kommer fra, vi trenger ikke så mørk hud som deg i norge. ..",0,svarer sms ukjent person lei uttrykker media ingenting annet brunøyet pakkis burde reise raskt mulig hjem skitne landet kommer trenger ikke mørk hud norge
selvfølgelig forstås snikislamisering som et generaliserende ord. og det er både snik-konspiratorisk og snik-halm-aktig. i det hele tatt et luskende og ekkelt ord. og det kommer fra våre øverste myndigheter. det er utenkelig som ikke har klart å sette foten ned.,1,selvfølgelig forstås snikislamisering generaliserende ord snik konspiratorisk snik halm aktig hele tatt luskende ekkelt ord kommer våre øverste myndigheter utenkelig ikke klart sette foten
den første som hadde på seg sløret på utsiden av hodeskallen. mange mentalt tilslørt i Riksdagen.,1,første sløret utsiden hodeskallen mentalt tilslørt riksdagen
"at du hele tiden drar muslimer inn i debatten, beviser at du er teologisk analfabeter og hjernevasket. Koranen sier hva fakta er. det står at muslimer ikke har lov til å si sitt om saken. de må adlyde. se for eksempel 5: 101.",1,hele tiden drar muslimer debatten beviser teologisk analfabeter hjernevasket koranen sier fakta står muslimer ikke lov saken må adlyde se eksempel
selvfølgelig er det svake studenter. mennesker har varierende evner og engasjement. hvilken planet har du falt fra?,1,selvfølgelig svake studenter mennesker varierende evner engasjement planet falt
Det fine med islamsk import er at sykehuspersonalet er så flinke til å håndtere kniv og skuddskader.,1,fine islamsk import sykehuspersonalet flinke håndtere kniv skuddskader
juridisk analfabeter kommunist vil bruke 50 000 kroner i et forsøk på å avskjære trengende vantro fra viktig informasjon,1,juridisk analfabeter kommunist bruke kroner forsøk avskjære trengende vantro viktig informasjon
"oddvar nygård i nordlys trodde at det ikke er snik islamisering i norge, men at det foregår helt åpent. er dette det synet har tatt tak i da de bestemte seg for å ære profeten med sin favorittfarge kanskje? dette her blir rart selv for den store haugen å være.",0,oddvar nygård nordlys trodde ikke snik islamisering norge foregår helt åpent synet tatt tak bestemte ære profeten favorittfarge kanskje rart store haugen
"Slum islamisering er veldig ekte, men de fleste muslimer klarer å tilpasse seg kulturen vår.",1,slum islamisering veldig ekte fleste muslimer klarer tilpasse kulturen
de nordiske landene er en del av europa. Jeg presenterte Europol-tall angående rådets overrepresentasjon av voldsstatistikk. Dette betyr at nordiske tall allerede er inkludert i statistikken. diskuter gjerne de nordiske landene separat i en annen debatt. .,1,nordiske landene del europa presenterte europol tall angående rådets overrepresentasjon voldsstatistikk betyr nordiske tall allerede inkludert statistikken diskuter gjerne nordiske landene separat annen debatt
"folk klager over hvor dårlig integrering er i norge. engasjement er bra. men å kalle folk neger, svarte og pakkis hjelper lite.",1,folk klager dårlig integrering norge engasjement bra kalle folk neger svarte pakkis hjelper lite
